id,kanji,onyomi,kunyomi,meaning
1,一,イチ,ひと（つ）,satu
2,二,二/ジ,ふた（つ）,dua
3,三,サン,みっ（つ）,tiga
4,四,シ,よっ（つ）/よん,empat
5,五,ゴ,いつ（つ）,lima
6,六,ロク,むっ（つ）/むい,enam
7,七,シチ,なな、なの,tujuh
8,八,ハチ,やっ（つ）/よう,delapan
9,九,キュウ/ク,ここの（つ）,sembilan
10,十,ジュウ,とう/と,sepuluh
11,百,ヒャク/ビャク,,seratus
12,千,セン,,seribu
13,万,マン,,puluh ribu
14,円,エン,,yen
15,先,セン,さき,setelah
16,生,セイ,,mentah/siswa/hidup
17,学,ガク,,belajar
18,人,ジン/ニン,ひと,orang
19,国,コク,くに,negara
20,男,,おとこ,laki-laki
21,女,ジョ,おんな,perempuan
22,子,,こ,anak-anak
23,友,,とも,teman
24,父,,ちち,ayah
25,母,,はは,ibu
26,名,メイ,な,nama
27,田,,た,sawah
28,山,サン,やま,gunung
29,語,ゴ,,bahasa
30,本,ホン,,buku
31,何,,なに/なん,apa
32,時,ジ,,waktu/jam
33,分,フン／ブン,,menit
34,間,カン,あいだ/ま,antara
35,半,ハン,,setengah
36,午,ゴ,,siang
37,前,ゼン,まえ,depan
38,後,ゴ,あと/うしろ,belakang
39,今,コン,いま,sekarang
40,週,シュウ,,minggu
41,年,ネン,とし,tahun
42,毎,マイ,,setiap
43,少,,すこ（し）/すく（ない）,sedikit
44,多,,おお（い）,banyak
45,小,ショウ,ちいさ（い）,kecil
46,大,タイ/ダイ,おお（きい）,besar
47,安,アン,やす（い）,murah
48,高,コウ,たか（い）,mahal/tinggi
49,新,シン,あたら（しい）,baru
50,古,,ふる（い）,lama/tua
51,早,,はや（い）,cepat
52,長,チョウ,なが（い）,panjang
53,校,コウ,,sekolah
54,社,シャ,,kantor
55,中,チュウ/ジュウ,なか,dalam/tengah
56,聞,ブン,き（く）/き（こえる）,mendengar
57,駅,エキ,,stasiun
58,口,,くち,mulut
59,出る,,で（る）/だ（す）,keluar
60,入る,,はい（る）/い（る）/い（れる）,masuk
61,東,トウ,ひがし,timur
62,西,セイ,にし,barat
63,南,ナン,みなみ,selatan
64,北,ホク,きた,utara
65,上,ジョウ,うえ/うわ,atas
66,下,カ,した,bawah
67,左,,ひだり,kiri
68,右,,みぎ,kanan
69,外,ガイ,そと,luar
70,休,,やす（む）,libur
71,見,ケン,み（る）/み（える）/み（せる）,melihat
72,言,,い（う）/こと,berkata
73,行,コウ,い（く）,pergi
74,書,ショ,か（く）,tulis
75,読,,よ（む）,baca
76,買,,か（う）,beli
77,来,ライ,く（る）,datang
78,立,,た（つ）,berdiri
79,飲,,の（む）,minum
80,食,ショク,た（べる）,makan
81,会,カイ,あ（う）,bertemu
82,電,デン,,listrik
83,話,ワ,はな（す）/はな（し）,topik/berbicara
84,車,シャ,くるま,mobil
85,花,カ,はな,bunga
86,天,テン,,langit (tak terbatas)
87,気,キ,,udara
88,耳,,みみ,telinga
89,手,,て,tangan
90,足,,あし/た（りる）/た（す）,kaki
91,目,,め,mata
92,力,,ちから,kekuatan
93,川,,かわ,sungai
94,牛,ギュウ,うし,sapi
95,魚,,さかな,ikan
96,店,テン,みせ,toko
97,道,,みち,jalan
98,門,モン,,gerbang
99,雨,,あめ,hujan
100,空,クウ,そら,langit (dalam bumi)
101,白,,しろ（い）/しろ,putih
